歌名,歌手,曲风,推荐标签,语种,BPM,乐评
San Francisco Drive,Petteri Sariola、,流行、,动感、放松、,纯音乐,100,
Edge Of Light,Antoine Dufour、,民谣、,清新、放松、,纯音乐,,
月半弯,宋依凡（Ivan Song）、,轻音乐、,悲伤、抑郁、,纯音乐,,
夢醒時分,康硕Kenny、,轻音乐、,抒情、放松、,纯音乐,67,
暖冬,品喆、,流行-器乐流行、,放松、,纯音乐,68,
凌晨三点,陈亮、,流行-器乐流行、,清新、放松、,纯音乐,116,
望天,孙无忧、,原声带-电视剧原声、流行-器乐流行、,抒情、悲伤、,纯音乐,79,
歩いても 歩いても,ゴンチチ、,原声带-电影原声、流行-器乐流行、,放松、,纯音乐,81,
1967,ゴンチチ、,轻音乐-流行轻音乐、,平静、放松、,纯音乐,75,
Airtap!,Erik Mongrain、,轻音乐、,可爱、快乐、放松、酒吧、,纯音乐,117,
A Sky Full of Stars,Daniel Padim、,,梦幻、放松、,纯音乐,127,
Light Waves,井草圣二、,流行-器乐流行、,快乐、放松、,纯音乐,121,
烛影摇红,成磊、,国风、,,纯音乐,107,
光,成磊、,流行、,大气、,,,
古桥夕照,成磊、,国风、,悲伤、平静、放松、,纯音乐,,
有间茶楼,成磊、,国风、,清新、平静、放松、,纯音乐,,
改编指弹 - 君の名は。「三葉のテーマ&かたわれ時」(三叶主题曲&黄昏之时),王尔康、,流行、,抒情、,,,
Passionflower,Jon Gomm、,乡村-乡村民谣、,抒情、放松、,英语,,
En T'attendant,Antoine Dufour、,民谣、,,纯音乐,,
お月さま,伍々慧、,轻音乐、,放松、抒情、,纯音乐,75,
Sorry,郑晟河、,,放松、治愈、,纯音乐,112,
Mythmaker,Andy McKee、,流行-器乐流行、,放松、,纯音乐,125,
川の流れのように (Acoustic Guitar Ver.),谷本光、,轻音乐、,放松、,纯音乐,146,
Love is Love,袁绍哲、,流行、轻音乐、,,纯音乐,,
Travel Time,袁绍哲、,流行、轻音乐、,放松、治愈、,纯音乐,,
家路,押尾コータロー、,轻音乐、,抒情、放松、学习、助眠、,纯音乐,127,
Bird Feeder Politics,Craig D'Andrea、,民谣、,抒情、悲伤、平静、放松、,纯音乐,,
Been Already A Year (벌써 일년),郑晟河、,轻音乐、,放松、抒情、,纯音乐,114,
Town,南澤大介、,轻音乐、,清新、放松、,纯音乐,87,
Right Here Waiting,Ulli Bögershausen、,,爱情、浪漫、,纯音乐,96,
約束の海,伍々慧、,,清新、放松、治愈、,纯音乐,106,
美しき人生,押尾コータロー、,流行-日本流行、,清新、放松、治愈、,纯音乐,142,
Shut The Window!,Craig D'Andrea、,民谣、,清新、放松、,纯音乐,,
Reality,Antoine Dufour、,,动感、活力、,纯音乐,99,
These Moments,Antoine Dufour、,,助眠、,纯音乐,77,
水乡新娘,曹思义、,国风、,抒情、放松、,纯音乐,108,
Mother,Antoine Dufour、,民谣、,,纯音乐,,
Looking up to Giants,Daniel Padim、,轻音乐、,抒情、动感、快乐、放松、,纯音乐,113,
A Misty Lady-（Remix),杨楚骁、,流行、,放松、,纯音乐,66,
"Moon River (from the movie ""Breakfast at Tiffany's""))",Ed Gerhard、,轻音乐、,放松、,纯音乐,,
Sleeping on Floors,Craig D'Andrea、,轻音乐、,清新、放松、治愈、,纯音乐,82,
Topeka,Jon Gomm、,流行、,清新、放松、,纯音乐,,
北方,三只猫、,流行、轻音乐、,抒情、治愈、放松、,纯音乐,,
Falling For Twelves,Craig D'Andrea、,民谣、,抒情、放松、,纯音乐,74,
